command,ratio,throughput
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H10 -M4 -G,0.7441199926194174,9671446.380024388
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H10 -M128 -G,0.7404110487101992,8182858.979472342
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H10 -M255 -G,0.7404582288467035,9169081.081458632
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H15 -M4 -G,0.7440311184087932,10398734.068430094
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H15 -M128 -G,0.7403093736873453,12269208.672328712
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H15 -M255 -G,0.7403847156107551,13348976.441272382
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H28 -M4 -G,0.7437842456015038,1094242.3956101194
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H28 -M128 -G,0.7402369576638738,1029410.0164388599
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e0 -H28 -M255 -G,0.7403583825113109,1071173.1395273146
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H10 -M4 -G,0.735273534156133,11215735.072722357
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H10 -M128 -G,0.7315057065106577,11473952.689009117
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H10 -M255 -G,0.731540085834932,12731247.575861627
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H15 -M4 -G,0.7351912432203698,13852754.755670981
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H15 -M128 -G,0.7314493829368465,14494163.808114052
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H15 -M255 -G,0.7315046092981808,14425810.677216344
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H28 -M4 -G,0.7349575369628025,1080108.0203171673
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H28 -M128 -G,0.7313941565755121,1037631.3425533975
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e1 -H28 -M255 -G,0.7314808363611826,1047332.6713957378
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H10 -M4 -G,0.7291075657737734,7442564.208264582
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H10 -M128 -G,0.7252329427805522,9033758.843371063
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H10 -M255 -G,0.7252420862178592,10861578.061659997
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H15 -M4 -G,0.7290186915631492,11706910.829544961
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H15 -M128 -G,0.7251861283815403,11842074.60961414
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H15 -M255 -G,0.7252212391807992,11954021.180265566
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H28 -M4 -G,0.7287725502308443,1044901.4395965036
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H28 -M128 -G,0.7251469944698663,1027050.3353368958
bsc e run.dat run.dat.bsc -b1 -m5 -ca -e2 -H28 -M255 -G,0.7252011236187238,1053527.774333348
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H10 -M4 -G,0.7489071306558789,10435519.386990808
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H10 -M128 -G,0.7450807850116387,11431400.355914228
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H10 -M255 -G,0.7451389372729113,12903975.011652661
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H15 -M4 -G,0.7491408369134462,13947209.740432484
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H15 -M128 -G,0.7450211698003969,14394874.071699025
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H15 -M255 -G,0.7451041922111447,14522604.413177395
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H28 -M4 -G,0.7490069769912715,1113691.0680709756
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H28 -M128 -G,0.744962651801632,1078209.6950688388
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e0 -H28 -M255 -G,0.7450635953495015,1006301.5232811716
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H10 -M4 -G,0.7391477914118619,9591026.816532625
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H10 -M128 -G,0.7353953247410624,10724605.124881292
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H10 -M255 -G,0.7354348243902288,12412542.659194076
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H15 -M4 -G,0.7393734514445991,13627839.556915004
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H15 -M128 -G,0.7353525334544656,13831744.531961586
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H15 -M255 -G,0.7354121486657074,14551876.947140018
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H28 -M4 -G,0.7392611700344689,1038051.8825574983
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H28 -M128 -G,0.7353075477429151,1052574.110599161
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e1 -H28 -M255 -G,0.7353854498287709,1054476.3321535373
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H10 -M4 -G,0.7327027653228922,7437988.103221864
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H10 -M128 -G,0.7288837344284976,9144959.848118708
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H10 -M255 -G,0.7288987296656811,10146487.250619221
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H15 -M4 -G,0.7329335456805214,10805755.138548922
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H15 -M128 -G,0.7288409431419008,11552166.282710996
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H15 -M255 -G,0.7288851973784668,11958876.54034844
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H28 -M4 -G,0.7328161439454992,1067325.574572087
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H28 -M128 -G,0.7288105869300415,988653.2570786584
bsc e run.dat run.dat.bsc -b1 -m6 -cf -e2 -H28 -M255 -G,0.7288610587039763,1041845.4182284824
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H10 -M4 -G,0.7440285582463473,11687165.740816211
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H10 -M128 -G,0.740216476364306,11421785.50250709
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H10 -M255 -G,0.7402684110882098,13018438.079095481
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H15 -M4 -G,0.7441788763556746,13645733.490148015
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H15 -M128 -G,0.7401455232908035,13828750.655084096
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H15 -M255 -G,0.7402376891388582,14023316.965876158
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H28 -M4 -G,0.7435388357441834,1071492.5029638943
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H28 -M128 -G,0.7397713738362004,1029873.0715713269
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e0 -H28 -M255 -G,0.7398843867213152,1071904.9244884287
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H10 -M4 -G,0.7350855450851007,10946274.336890755
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H10 -M128 -G,0.7312573707533991,10433088.993884655
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H10 -M255 -G,0.731292481552658,11648300.619592648
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H15 -M4 -G,0.7351879515829393,13032255.75272053
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H15 -M128 -G,0.7312112878293717,14507888.378336221
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H15 -M255 -G,0.7312822409028742,14310726.34871132
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H28 -M4 -G,0.7346843310560688,1088524.7301811655
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H28 -M128 -G,0.7309325958602539,1036652.4371850707
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e1 -H28 -M255 -G,0.7310152525335093,1059502.9659988813
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H10 -M4 -G,0.7288610587039763,8222198.928393545
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H10 -M128 -G,0.7249169455872218,9677342.88931672
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H10 -M255 -G,0.7249282834494825,11179959.15095628
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H15 -M4 -G,0.728899826878158,11670693.02521324
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H15 -M128 -G,0.724884760687901,11468060.82019518
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H15 -M255 -G,0.7249213344371291,11618155.6225886
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H28 -M4 -G,0.728506293336464,1086441.3942793936
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H28 -M128 -G,0.724702257679253,988668.2153453737
bsc e run.dat run.dat.bsc -b1 -m6 -cp -e2 -H28 -M255 -G,0.7247483406032803,1032244.2230742393
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H10 -M4 -G,0.7437992408386873,10303262.683706295
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H10 -M128 -G,0.7400493343303337,12512366.945930287
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H10 -M255 -G,0.7400851766045773,13307015.308257712
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H15 -M4 -G,0.7438120416509171,13064092.924731
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H15 -M128 -G,0.7399619230696787,13844685.6362968
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H15 -M255 -G,0.74002629286832,14250876.5864917
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H28 -M4 -G,0.7436053999677785,1087635.3519906006
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H28 -M128 -G,0.7398938958961144,1048719.3540500128
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e0 -H28 -M255 -G,0.7399973996064299,1014182.9324254914
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H10 -M4 -G,0.734937421400727,10163131.309661161
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H10 -M128 -G,0.7311648391678521,11506486.694084201
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H10 -M255 -G,0.7311889778423426,12610162.055456653
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H15 -M4 -G,0.7349553425378488,12872984.793131609
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H15 -M128 -G,0.7311055896941027,13402251.75606139
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H15 -M255 -G,0.7311560614680374,13817370.750029821
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H28 -M4 -G,0.7347541869170945,1139714.8969931016
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H28 -M128 -G,0.7310558493951524,1071524.4898289908
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e1 -H28 -M255 -G,0.7311326542685315,982063.8984270763
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H10 -M4 -G,0.7287875454680278,9594934.736578953
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H10 -M128 -G,0.7248920754377466,11051225.584809767
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H10 -M255 -G,0.7248975615001308,11621887.975613242
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H15 -M4 -G,0.728782425143136,12091491.450190654
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H15 -M128 -G,0.7248459925137193,12071591.505577339
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H15 -M255 -G,0.7248737885631326,12165908.818059918
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H28 -M4 -G,0.7285724918225669,1037044.7529063837
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H28 -M128 -G,0.7248083215520144,1030235.6989112926
bsc e run.dat run.dat.bsc -b1 -m6 -ca -e2 -H28 -M255 -G,0.72485733037598,1056936.54828671
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H10 -M4 -G,0.7487195073223389,10036452.614428665
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H10 -M128 -G,0.7448646341537009,12724509.43681086
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H10 -M255 -G,0.7449224206774812,13393650.65572882
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H15 -M4 -G,0.7490066112537792,13552981.670565823
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H15 -M128 -G,0.7448046532049668,13883637.84400134
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H15 -M255 -G,0.7448803608658688,14105705.146441707
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H28 -M4 -G,0.7489404127676764,1099230.9733745852
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H28 -M128 -G,0.7447486953686479,1039575.9565088688
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e0 -H28 -M255 -G,0.744842689904164,1039668.505604796
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H10 -M4 -G,0.7389488302160613,10191287.417959232
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H10 -M128 -G,0.7351619842209873,8447804.703025589
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H10 -M255 -G,0.7351949005952926,9515958.952733332
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H15 -M4 -G,0.7392216703853026,9652820.73732002
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H15 -M128 -G,0.7351206558843597,11258412.50144779
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H15 -M255 -G,0.7351736878207403,12763972.932106955
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H28 -M4 -G,0.7391880225360128,1016766.7295113442
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H28 -M128 -G,0.7350738414853477,1028894.5731766148
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e1 -H28 -M255 -G,0.7351473547212961,1092616.1449458413
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H10 -M4 -G,0.7325242854266593,7400651.836796909
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H10 -M128 -G,0.7286650234081139,7407566.540111416
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H10 -M255 -G,0.7286785556953282,9050766.43618137
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H15 -M4 -G,0.7327901765835473,9307095.104355998
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H15 -M128 -G,0.7286258894964398,9886273.475338567
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H15 -M255 -G,0.7286646576706216,10557624.943618145
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H28 -M4 -G,0.7327473852969505,1043085.3747223751
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H28 -M128 -G,0.7285944360721037,1009397.7603055425
bsc e run.dat run.dat.bsc -b1 -m7 -cf -e2 -H28 -M255 -G,0.7286423476835925,1047516.4925495996
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H10 -M4 -G,0.7437286535026771,10326075.461684225
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H10 -M128 -G,0.7399743581444163,10394144.12063947
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H10 -M255 -G,0.740024829918351,10989791.085327026
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H15 -M4 -G,0.7437414543149069,12068714.085205553
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H15 -M128 -G,0.7399026735959292,13509499.514667103
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H15 -M255 -G,0.7399919135440457,14369082.220447747
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H28 -M4 -G,0.7434503272710515,1067077.1949144062
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H28 -M128 -G,0.7395354731536794,1025453.1083499104
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e0 -H28 -M255 -G,0.7396400740764717,1026230.9425878951
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e1 -H10 -M4 -G,0.7348434268652109,9220278.928769212
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e1 -H10 -M128 -G,0.7310068405711869,10639776.339965988
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e1 -H10 -M255 -G,0.7310412198954612,11695932.44413259
bsc e run.dat run.dat.bsc -b1 -m7 -cp -e1 -H15 -M4 -G,0.734861713739825,12903067.596386759
